Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
USC&GSS Hassler  June 1888 - January 1889,            ,23          ,563391      ,            ,Box 1943            ,1888-06-01,1889-01-31,https://catalog.archives.gov/id/24335075          ,97          ,https://catalog.archives.gov/OpaAPI/media/24335075/content/dc-metro/rg-023/563391/Hassler-1888/Hassler-1888.pdf
USC&GSS Hassler  April 1877 - January 1878,            ,23          ,563391      ,            ,Volume 75           ,1877-04-01,1878-01-31,https://catalog.archives.gov/id/24332425          ,142         ,https://catalog.archives.gov/OpaAPI/media/24332425/content/dc-metro/rg-023/563391/Hassler-1877/Hassler-1877.pdf
USC&GSS Hassler  January 1895 - May 1895,            ,23          ,563391      ,            ,Box 1948            ,1895-01-01,1895-05-31,https://catalog.archives.gov/id/24337207          ,159         ,https://catalog.archives.gov/OpaAPI/media/24337207/content/dc-metro/rg-023/563391/Hassler-1895/Hassler-1895.pdf
USC&GSS Hassler  January 1887 - December 1887,            ,23          ,563391      ,            ,Box 1943            ,1887-01-01,1887-12-31,https://catalog.archives.gov/id/24334894          ,179         ,https://catalog.archives.gov/OpaAPI/media/24334894/content/dc-metro/rg-023/563391/Hassler-1887/Hassler-1887.pdf
USC&GSS Hassler  January 1886 - December 1886,            ,23          ,563391      ,            ,Box 1943            ,1886-01-01,1886-12-31,https://catalog.archives.gov/id/24334703          ,189         ,https://catalog.archives.gov/OpaAPI/media/24334703/content/dc-metro/rg-023/563391/Hassler-1886/Hassler-1886.pdf
USC&GSS Hassler  January 1879 - December 1879,            ,23          ,563391      ,            ,Box 1941            ,1879-01-01,1879-12-31,https://catalog.archives.gov/id/24332763          ,190         ,https://catalog.archives.gov/OpaAPI/media/24332763/content/dc-metro/rg-023/563391/Hassler-1879/Hassler-1879.pdf
USC&GSS Hassler  January 1880 - December 1880,            ,23          ,563391      ,            ,Boxes 1941 and 1942 ,1880-01-01,1880-12-31,https://catalog.archives.gov/id/24332955          ,191         ,https://catalog.archives.gov/OpaAPI/media/24332955/content/dc-metro/rg-023/563391/Hassler-1880/Hassler-1880.pdf
USC&GSS Hassler  January 1881 - December 1881,            ,23          ,563391      ,            ,Box 1942            ,1881-01-01,1881-12-31,https://catalog.archives.gov/id/24333148          ,191         ,https://catalog.archives.gov/OpaAPI/media/24333148/content/dc-metro/rg-023/563391/Hassler-1881/Hassler-1881.pdf
USC&GSS Hassler  January 1889 - December 1889,            ,23          ,563391      ,            ,Boxes 1943 and 1944 ,1889-01-01,1889-12-31,https://catalog.archives.gov/id/24335174          ,191         ,https://catalog.archives.gov/OpaAPI/media/24335174/content/dc-metro/rg-023/563391/Hassler-1889/Hassler-1889.pdf
USC&GSS Hassler  January 1882 - December 1882,            ,23          ,563391      ,            ,Box 1942            ,1882-01-01,1882-12-31,https://catalog.archives.gov/id/24333341          ,191         ,https://catalog.archives.gov/OpaAPI/media/24333341/content/dc-metro/rg-023/563391/Hassler-1882/Hassler-1882.pdf
USC&GSS Hassler  January 1878 - January 1879,            ,23          ,563391      ,            ,Volume 75 and Box 1941,1878-01-01,1879-01-31,https://catalog.archives.gov/id/24332569          ,192         ,https://catalog.archives.gov/OpaAPI/media/24332569/content/dc-metro/rg-023/563391/Hassler-1878/Hassler-1878.pdf
USC&GSS Hassler  January 1876 - September 1876,            ,23          ,563391      ,            ,Volume 71 and 74    ,1876-01-01,1876-09-30,https://catalog.archives.gov/id/24332142          ,281         ,https://catalog.archives.gov/OpaAPI/media/24332142/content/dc-metro/rg-023/563391/Hassler-1876/Hassler-1876.pdf
USC&GSS Hassler  January 1890 - December 1890,            ,23          ,563391      ,            ,Box 1944            ,1890-01-01,1890-12-31,https://catalog.archives.gov/id/24335367          ,288         ,https://catalog.archives.gov/OpaAPI/media/24335367/content/dc-metro/rg-023/563391/Hassler-1890/Hassler-1890.pdf
USC&GSS Hassler  January 1891 - December 1891,            ,23          ,563391      ,            ,Box 1945            ,1891-01-01,1891-12-31,https://catalog.archives.gov/id/24335657          ,384         ,https://catalog.archives.gov/OpaAPI/media/24335657/content/dc-metro/rg-023/563391/Hassler-1891/Hassler-1891.pdf
USC&GSS Hassler  January 1892 - December 1892,            ,23          ,563391      ,            ,Boxes 1945 and 1946 ,1892-01-01,1892-12-31,https://catalog.archives.gov/id/24336043          ,385         ,https://catalog.archives.gov/OpaAPI/media/24336043/content/dc-metro/rg-023/563391/Hassler-1892/Hassler-1892.pdf
USC&GSS Hassler  January 1893 - December 1893,            ,23          ,563391      ,            ,Boxes 1946 and 1947 ,1893-01-01,1893-12-31,https://catalog.archives.gov/id/24336430          ,385         ,https://catalog.archives.gov/OpaAPI/media/24336430/content/dc-metro/rg-023/563391/Hassler-1893/Hassler-1893.pdf
USC&GSS Hassler  January 1874 - December 1874,            ,23          ,563391      ,            ,Volume 73 and 78    ,1874-01-01,1874-12-31,https://catalog.archives.gov/id/24331363          ,386         ,https://catalog.archives.gov/OpaAPI/media/24331363/content/dc-metro/rg-023/563391/Hassler-1874/Hassler-1874.pdf
USC&GSS Hassler  January 1885 - December 1885,            ,23          ,563391      ,            ,Volumes 82 and 83   ,1885-01-01,1885-12-31,https://catalog.archives.gov/id/24334315          ,386         ,https://catalog.archives.gov/OpaAPI/media/24334315/content/dc-metro/rg-023/563391/Hassler-1885/Hassler-1885.pdf
USC&GSS Hassler  January 1894 - December 1894,            ,23          ,563391      ,            ,Boxes 1947 and 1948 ,1894-01-01,1894-12-31,https://catalog.archives.gov/id/24336817          ,388         ,https://catalog.archives.gov/OpaAPI/media/24336817/content/dc-metro/rg-023/563391/Hassler-1894/Hassler-1894.pdf
USC&GSS Hassler  January 1884 - December 1884,            ,23          ,563391      ,            ,Volumes 80 and 81   ,1884-01-01,1884-12-31,https://catalog.archives.gov/id/24333925          ,388         ,https://catalog.archives.gov/OpaAPI/media/24333925/content/dc-metro/rg-023/563391/Hassler-1884/Hassler-1884.pdf
USC&GSS Hassler  January 1883 - December 1883,            ,23          ,563391      ,            ,Volumes 77 and 79   ,1883-01-01,1883-12-31,https://catalog.archives.gov/id/24333534          ,389         ,https://catalog.archives.gov/OpaAPI/media/24333534/content/dc-metro/rg-023/563391/Hassler-1883/Hassler-1883.pdf
USC&GSS Hassler  January 1875 - December 1875,            ,23          ,563391      ,            ,Volumes 71  72  73 and 78,1875-01-01,1875-12-31,https://catalog.archives.gov/id/24331751          ,389         ,https://catalog.archives.gov/OpaAPI/media/24331751/content/dc-metro/rg-023/563391/Hassler-1875/Hassler-1875.pdf
