Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
Bailey                        ,"DD-492      ",24          ,594258      ,A1 118      ,723                 ,1945-06-01,1945-06-30,https://catalog.archives.gov/id/40453449          ,64          ,https://catalog.archives.gov/OpaAPI/media/40453449/content/dc-metro/rg-024/594258/0013/Bailey-DD-492-1945-06/Bailey-DD-492-1945-06.pdf
Mount Baker                   ,"AE-4        ",24          ,594258      ,A1 118      ,2908                ,1963-09-01,1963-09-30,https://catalog.archives.gov/id/40460095          ,64          ,https://catalog.archives.gov/OpaAPI/media/40460095/content/dc-metro/rg-024/594258/0013/Mount-Baker-AE-4-1963-09/Mount-Baker-AE-4-1963-09.pdf
Mount Katmai                  ,"AE-16       ",24          ,594258      ,A1 118      ,2913                ,1962-07-01,1962-07-31,https://catalog.archives.gov/id/40462147          ,64          ,https://catalog.archives.gov/OpaAPI/media/40462147/content/dc-metro/rg-024/594258/0013/Mount-Katmai-AE-16-1962-07/Mount-Katmai-AE-16-1962-07.pdf
Nitro                         ,"AE-23       ",24          ,594258      ,A1 118      ,3060                ,1961-04-01,1961-04-30,https://catalog.archives.gov/id/40465104          ,64          ,https://catalog.archives.gov/OpaAPI/media/40465104/content/dc-metro/rg-024/594258/0013/Nitro-AE-23-1961-04/Nitro-AE-23-1961-04.pdf
Nitro                         ,"AE-23       ",24          ,594258      ,A1 118      ,3062                ,1962-08-01,1962-08-31,https://catalog.archives.gov/id/40466200          ,64          ,https://catalog.archives.gov/OpaAPI/media/40466200/content/dc-metro/rg-024/594258/0013/Nitro-AE-23-1962-08/Nitro-AE-23-1962-08.pdf
Nitro                         ,"AE-23       ",24          ,594258      ,A1 118      ,3062                ,1963-01-01,1963-01-31,https://catalog.archives.gov/id/40466461          ,64          ,https://catalog.archives.gov/OpaAPI/media/40466461/content/dc-metro/rg-024/594258/0013/Nitro-AE-23-1963-01/Nitro-AE-23-1963-01.pdf
Nitro                         ,"AE-23       ",24          ,594258      ,A1 118      ,3063                ,1963-08-01,1963-08-31,https://catalog.archives.gov/id/40466931          ,64          ,https://catalog.archives.gov/OpaAPI/media/40466931/content/dc-metro/rg-024/594258/0013/Nitro-AE-23-1963-08/Nitro-AE-23-1963-08.pdf
Nitro                         ,"AE-23       ",24          ,594258      ,A1 118      ,3064                ,1964-06-01,1964-06-30,https://catalog.archives.gov/id/40467548          ,64          ,https://catalog.archives.gov/OpaAPI/media/40467548/content/dc-metro/rg-024/594258/0013/Nitro-AE-23-1964-06/Nitro-AE-23-1964-06.pdf
Pyro                          ,"AE-24       ",24          ,594258      ,A1 118      ,3557                ,1962-11-01,1962-11-30,https://catalog.archives.gov/id/40469826          ,64          ,https://catalog.archives.gov/OpaAPI/media/40469826/content/dc-metro/rg-024/594258/0013/Pyro-AE-24-1962-11/Pyro-AE-24-1962-11.pdf
Ranger                        ,"CVA-61      ",24          ,594258      ,A1 118      ,                    ,1973-01-01,1973-01-31,https://catalog.archives.gov/id/40477371          ,64          ,https://catalog.archives.gov/OpaAPI/media/40477371/content/dc-metro/rg-024/594258/0013/Ranger-CVA-61-1973-01/Ranger-CVA-61-1973-01.pdf
Pyro                          ,"AE-24       ",24          ,594258      ,A1 118      ,3556                ,1962-10-01,1962-10-31,https://catalog.archives.gov/id/40469760          ,64          ,https://catalog.archives.gov/OpaAPI/media/40469760/content/dc-metro/rg-024/594258/0013/Pyro-AE-24-1962-10/Pyro-AE-24-1962-10.pdf
General W. A. Mann            ,"AP-112      ",24          ,594258      ,A1 118      ,1709                ,1957-06-01,1957-06-30,https://catalog.archives.gov/id/41029432          ,64          ,https://catalog.archives.gov/OpaAPI/media/41029432/content/dc-metro/rg-024/594258/0014/General-W-A-Mann-AP-112-1957-06/General-W-A-Mann-AP-112-1957-06.pdf
General W. A. Mann            ,"AP-112      ",24          ,594258      ,A1 118      ,1708                ,1956-02-01,1956-02-29,https://catalog.archives.gov/id/41028393          ,64          ,https://catalog.archives.gov/OpaAPI/media/41028393/content/dc-metro/rg-024/594258/0014/General-W-A-Mann-AP-112-1956-02/General-W-A-Mann-AP-112-1956-02.pdf
General W. A. Mann            ,"AP-112      ",24          ,594258      ,A1 118      ,1710                ,1957-11-01,1957-11-30,https://catalog.archives.gov/id/41029779          ,64          ,https://catalog.archives.gov/OpaAPI/media/41029779/content/dc-metro/rg-024/594258/0014/General-W-A-Mann-AP-112-1957-11/General-W-A-Mann-AP-112-1957-11.pdf
General W. A. Mann            ,"AP-112      ",24          ,594258      ,A1 118      ,1712                ,1960-04-01,1960-04-30,https://catalog.archives.gov/id/41031809          ,64          ,https://catalog.archives.gov/OpaAPI/media/41031809/content/dc-metro/rg-024/594258/0014/General-W-A-Mann-AP-112-1960-04/General-W-A-Mann-AP-112-1960-04.pdf
Shasta                        ,"AE-6        ",24          ,594258      ,A1 118      ,4127                ,1962-04-01,1962-04-30,https://catalog.archives.gov/id/41034676          ,64          ,https://catalog.archives.gov/OpaAPI/media/41034676/content/dc-metro/rg-024/594258/0014/Shasta-AE-6-1962-04/Shasta-AE-6-1962-04.pdf
General W. A. Mann            ,"AP-112      ",24          ,594258      ,A1 118      ,1712                ,1960-08-01,1960-08-31,https://catalog.archives.gov/id/41032076          ,64          ,https://catalog.archives.gov/OpaAPI/media/41032076/content/dc-metro/rg-024/594258/0014/General-W-A-Mann-AP-112-1960-08/General-W-A-Mann-AP-112-1960-08.pdf
Shasta                        ,"AE-6        ",24          ,594258      ,A1 118      ,4127                ,1962-06-01,1962-06-30,https://catalog.archives.gov/id/41034813          ,64          ,https://catalog.archives.gov/OpaAPI/media/41034813/content/dc-metro/rg-024/594258/0014/Shasta-AE-6-1962-06/Shasta-AE-6-1962-06.pdf
Shasta                        ,"AE-6        ",24          ,594258      ,A1 118      ,4129                ,1963-10-01,1963-10-31,https://catalog.archives.gov/id/41035864          ,64          ,https://catalog.archives.gov/OpaAPI/media/41035864/content/dc-metro/rg-024/594258/0014/Shasta-AE-6-1963-10/Shasta-AE-6-1963-10.pdf
Shasta                        ,"AE-6        ",24          ,594258      ,A1 118      ,4129                ,1964-01-01,1964-01-31,https://catalog.archives.gov/id/41036059          ,64          ,https://catalog.archives.gov/OpaAPI/media/41036059/content/dc-metro/rg-024/594258/0014/Shasta-AE-6-1964-01/Shasta-AE-6-1964-01.pdf
Suribachi                     ,"AE-21       ",24          ,594258      ,A1 118      ,4363                ,1961-03-01,1961-03-31,https://catalog.archives.gov/id/41038030          ,64          ,https://catalog.archives.gov/OpaAPI/media/41038030/content/dc-metro/rg-024/594258/0014/Suribachi-AE-21-1961-03/Suribachi-AE-21-1961-03.pdf
Suribachi                     ,"AE-21       ",24          ,594258      ,A1 118      ,4366                ,1963-07-01,1963-07-31,https://catalog.archives.gov/id/41039900          ,64          ,https://catalog.archives.gov/OpaAPI/media/41039900/content/dc-metro/rg-024/594258/0014/Suribachi-AE-21-1963-07/Suribachi-AE-21-1963-07.pdf
Suribachi                     ,"AE-21       ",24          ,594258      ,A1 118      ,4364                ,1961-11-01,1961-11-30,https://catalog.archives.gov/id/41038554          ,64          ,https://catalog.archives.gov/OpaAPI/media/41038554/content/dc-metro/rg-024/594258/0014/Suribachi-AE-21-1961-11/Suribachi-AE-21-1961-11.pdf
Suribachi                     ,"AE-21       ",24          ,594258      ,A1 118      ,4363                ,1961-05-01,1961-05-31,https://catalog.archives.gov/id/41038159          ,64          ,https://catalog.archives.gov/OpaAPI/media/41038159/content/dc-metro/rg-024/594258/0014/Suribachi-AE-21-1961-05/Suribachi-AE-21-1961-05.pdf
Vesuvius                      ,"AE-15       ",24          ,594258      ,A1 118      ,4802                ,1962-10-01,1962-10-31,https://catalog.archives.gov/id/41044742          ,64          ,https://catalog.archives.gov/OpaAPI/media/41044742/content/dc-metro/rg-024/594258/0014/Vesuvius-AE-15-1962-10/Vesuvius-AE-15-1962-10.pdf
Beale                         ,"DD-471      ",24          ,594258      ,A1 118      ,326                 ,1965-01-01,1965-01-31,https://catalog.archives.gov/id/66337888          ,59          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Beale-DD-471-1965-01/Beale-DD-471-1965-01.pdf
Beale                         ,"DD-471      ",24          ,594258      ,A1 118      ,326                 ,1965-06-01,1965-06-30,https://catalog.archives.gov/id/66337987          ,58          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Beale-DD-471-1965-06/Beale-DD-471-1965-06.pdf
Beale                         ,"DD-471      ",24          ,594258      ,A1 118      ,326                 ,1965-07-01,1965-07-31,https://catalog.archives.gov/id/66338047          ,58          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Beale-DD-471-1965-07/Beale-DD-471-1965-07.pdf
Beale                         ,"DD-471      ",24          ,594258      ,A1 118      ,327                 ,1965-10-01,1965-10-31,https://catalog.archives.gov/id/66338153          ,39          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Beale-DD-471-1965-10/Beale-DD-471-1965-10.pdf
Beale                         ,"DDE-471     ",24          ,594258      ,A1 118      ,336                 ,1957-07-01,1957-07-31,https://catalog.archives.gov/id/66342430          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Beale-DDE-471-1957-07/Beale-DDE-471-1957-07.pdf
Beale                         ,"DDE-471     ",24          ,594258      ,A1 118      ,337                 ,1959-01-01,1959-01-31,https://catalog.archives.gov/id/66343495          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Beale-DDE-471-1959-01/Beale-DDE-471-1959-01.pdf
Bearss                        ,"DD-654      ",24          ,594258      ,A1 118      ,270                 ,1951-10-01,1951-10-31,https://catalog.archives.gov/id/66346483          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Bearss-DD-654-1951-10/Bearss-DD-654-1951-10.pdf
Bearss                        ,"DD-654      ",24          ,594258      ,A1 118      ,340                 ,1956-08-01,1956-08-31,https://catalog.archives.gov/id/66346955          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Bearss-DD-654-1956-08/Bearss-DD-654-1956-08.pdf
Belknap                       ,"APD-34      ",24          ,594258      ,A1 118      ,938                 ,1945-03-01,1945-03-31,https://catalog.archives.gov/id/66347081          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Belknap-APD-34-1945-03/Belknap-APD-34-1945-03.pdf
Belknap                       ,"APD-34      ",24          ,594258      ,A1 118      ,938                 ,1945-04-01,1945-04-30,https://catalog.archives.gov/id/66347147          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Belknap-APD-34-1945-04/Belknap-APD-34-1945-04.pdf
Belknap                       ,"APD-34      ",24          ,594258      ,A1 118      ,938                 ,1945-05-01,1945-05-31,https://catalog.archives.gov/id/66347213          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Belknap-APD-34-1945-05/Belknap-APD-34-1945-05.pdf
Belknap                       ,"APD-34      ",24          ,594258      ,A1 118      ,938                 ,1945-07-01,1945-07-31,https://catalog.archives.gov/id/66347343          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Belknap-APD-34-1945-07/Belknap-APD-34-1945-07.pdf
Bell                          ,"DD-587      ",24          ,594258      ,A1 118      ,941                 ,1945-02-01,1945-02-28,https://catalog.archives.gov/id/66348103          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Bell-DD-587-1945-02/Bell-DD-587-1945-02.pdf
Bell                          ,"DD-587      ",24          ,594258      ,A1 118      ,941                 ,1946-04-01,1946-04-30,https://catalog.archives.gov/id/66348847          ,64          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Bell-DD-587-1946-04/Bell-DD-587-1946-04.pdf
Bon Homme Richard             ,"CVA-31      ",24          ,594258      ,A1 118      ,474                 ,1965-01-01,1965-01-31,https://catalog.archives.gov/id/66350619          ,59          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/594258/0015/Bon-Homme-Richard-CVA-31-1965-01/Bon-Homme-Richard-CVA-31-1965-01.pdf
