Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
USS Adams                     ,            ,24          ,581208      ,A1 118-A    ,                    ,1876-07-01,1920-08-31,https://catalog.archives.gov/id/6037633           ,            ,            
USS Alaska                    ,            ,24          ,581208      ,A1 118-A    ,                    ,1869-12-01,1883-02-28,https://catalog.archives.gov/id/6037635           ,            ,            
USS Alert                     ,            ,24          ,581208      ,A1 118-A    ,                    ,1875-05-01,1922-03-31,https://catalog.archives.gov/id/6037637           ,            ,            
USS Concord                   ,            ,24          ,581208      ,A1 118-A    ,                    ,1891-02-01,1919-12-31,https://catalog.archives.gov/id/6037639           ,            ,            
USS Jamestown                 ,            ,24          ,581208      ,A1 118-A    ,                    ,1844-12-01,1892-09-30,https://catalog.archives.gov/id/6037640           ,            ,            
USS Rodgers                   ,            ,24          ,581208      ,A1 118-A    ,                    ,1881-05-30,1882-05-14,https://catalog.archives.gov/id/6037646           ,            ,            
USS Mohican                   ,            ,24          ,581208      ,A1 118-A    ,                    ,1859-11-01,1872-06-30,https://catalog.archives.gov/id/6037641           ,            ,            
USS Tuscarora                 ,            ,24          ,581208      ,A1 118-A    ,                    ,1861-12-01,1880-05-31,https://catalog.archives.gov/id/6037647           ,            ,            
USS Mohican                   ,            ,24          ,581208      ,A1 118-A    ,                    ,1885-05-01,1921-10-31,https://catalog.archives.gov/id/6037642           ,            ,            
USS Ossipee                   ,            ,24          ,581208      ,A1 118-A    ,                    ,1862-11-01,1889-11-30,https://catalog.archives.gov/id/6037643           ,            ,            
USS Vicksburg                 ,            ,24          ,581208      ,A1 118-A    ,                    ,1897-10-01,1919-10-31,https://catalog.archives.gov/id/6037648           ,            ,            
USS Petrel                    ,            ,24          ,581208      ,A1 118-A    ,                    ,1889-12-01,1919-07-31,https://catalog.archives.gov/id/6037644           ,            ,            
USS Yorktown                  ,            ,24          ,581208      ,A1 118-A    ,                    ,1889-04-01,1919-06-30,https://catalog.archives.gov/id/6037649           ,            ,            
USS Pinta                     ,            ,24          ,581208      ,A1 118-A    ,                    ,1873-11-01,1897-08-31,https://catalog.archives.gov/id/6037645           ,            ,            
USS  TUSCARORA                ,            ,24          ,581208      ,A1 118-A    ,4                   ,1864-06-01,1864-06-04,https://catalog.archives.gov/id/169800500         ,5           ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-004/581208-tuscarora-004.pdf
USS  MACEDONIAN               ,            ,24          ,581208      ,A1 118-A    ,26                  ,1862-01-01,1862-01-13,https://catalog.archives.gov/id/183329339         ,9           ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-macedonian-026/581208-macedonian-026.pdf
USS Constitution              ,            ,24          ,581208      ,A1 118-A    ,                    ,1844-05-01,1844-10-31,https://catalog.archives.gov/id/148753037         ,11          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2017-06/Uss_Constitution_05261844-10171844/Uss_Constitution_05261844-10171844.pdf
USS Concord                   ,            ,24          ,581208      ,A1 118-A    ,volume 21 of 40     ,1896-05-01,1896-05-31,https://catalog.archives.gov/id/6919171           ,12          ,            
USS Kearsarge                 ,            ,24          ,581208      ,A1 118-A    ,vol64of86           ,1894-01-01,1894-02-28,https://catalog.archives.gov/id/148817619         ,13          ,            
USS  JUNIATA                  ,            ,24          ,581208      ,A1 118-A    ,2                   ,1863-12-04,1863-12-23,https://catalog.archives.gov/id/183324079         ,13          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-juniata-002/581208-juniata-002.pdf
USS  RESACA                   ,            ,24          ,581208      ,A1 118-A    ,1                   ,1866-07-09,1866-07-20,https://catalog.archives.gov/id/169772266         ,14          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-resaca-001/581208-resaca-001.pdf
USS Adams                     ,            ,24          ,581208      ,A1 118-A    ,Volume 38           ,1895-12-01,1895-12-31,https://catalog.archives.gov/id/33207380          ,15          ,https://catalog.archives.gov/OpaAPI/media/33207380/content/dc-metro/rg-024/581208/0002-A1/adams-1895/adams-1895.pdf
USS  PAWNEE                   ,            ,24          ,581208      ,A1 118-A    ,3                   ,1862-10-18,1862-11-11,https://catalog.archives.gov/id/169766537         ,15          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-pawnee-003/581208-pawnee-003.pdf
USS  COLORADO                 ,            ,24          ,581208      ,A1 118-A    ,3                   ,1862-06-03,1862-06-28,https://catalog.archives.gov/id/183310109         ,16          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-colorado-003/581208-colorado-003.pdf
USS  TICONDEROGA              ,            ,24          ,581208      ,A1 118-A    ,4                   ,1865-04-05,1865-05-05,https://catalog.archives.gov/id/169796720         ,19          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-004/581208-ticonderoga-004.pdf
USS Yantic                    ,            ,24          ,581208      ,A1 118-A    ,vol09of67           ,1868-01-01,1868-01-31,https://catalog.archives.gov/id/148883973         ,20          ,            
USS  MONONGAHELA              ,            ,24          ,581208      ,A1 118-A    ,47                  ,1898-05-16,1898-05-26,https://catalog.archives.gov/id/167216786         ,20          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-01/581208-monongahela-047/581208-monongahela-047.pdf
USS  NEW HAMPSHIRE            ,            ,24          ,581208      ,A1 118-A    ,15                  ,1875-12-22,1876-01-24,https://catalog.archives.gov/id/183332415         ,21          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-024/581208/2020-09/581208-new-hampshire-015/581208-new-hampshire-015.pdf
