Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
USRC Bear                     ,            ,26          ,585454      ,            ,                    ,1885-11-01,1929-12-31,https://catalog.archives.gov/id/6037616           ,            ,            
USRC Rush                     ,            ,26          ,585454      ,            ,                    ,1884-06-01,1910-11-30,https://catalog.archives.gov/id/6037626           ,            ,            
USRC Snohomish                ,            ,26          ,585454      ,            ,                    ,1913-06-01,1934-10-31,https://catalog.archives.gov/id/6037627           ,            ,            
USRC Thetis                   ,            ,26          ,585454      ,            ,                    ,1899-04-01,1910-12-31,https://catalog.archives.gov/id/6037628           ,            ,            
USRC Wolcott                  ,            ,26          ,585454      ,            ,                    ,1873-08-01,1882-12-31,https://catalog.archives.gov/id/6037629           ,            ,            
USRC Unalga                   ,            ,26          ,585454      ,            ,                    ,1912-01-01,1941-12-31,https://catalog.archives.gov/id/6037630           ,            ,            
USRC Commodore Perry          ,            ,26          ,585454      ,            ,                    ,1866-01-01,1910-07-31,https://catalog.archives.gov/id/6037619           ,            ,            
USRC Corwin                   ,            ,26          ,585454      ,            ,                    ,1880-01-01,1936-12-31,https://catalog.archives.gov/id/6037620           ,            ,            
USRC Grant                    ,            ,26          ,585454      ,            ,                    ,1876-01-01,1906-12-31,https://catalog.archives.gov/id/6037621           ,            ,            
USRC Manning                  ,            ,26          ,585454      ,            ,                    ,1898-10-01,1919-01-31,https://catalog.archives.gov/id/6037622           ,            ,            
USRC McCulloch                ,            ,26          ,585454      ,            ,                    ,1897-12-01,1917-06-30,https://catalog.archives.gov/id/6037624           ,            ,            
USRC Rush                     ,            ,26          ,585454      ,            ,                    ,1874-07-01,1874-07-31,https://catalog.archives.gov/id/6037625           ,            ,            
Chelan  May 1941              ,            ,26          ,585454      ,            ,547                 ,1941-05-01,1941-05-31,https://catalog.archives.gov/id/23681720          ,8           ,https://catalog.archives.gov/OpaAPI/media/23681720/content/dc-metro/rg-026/585454/0002/Chelan-1941-05/Chelan-1941-05.pdf
Haida  October 1921           ,            ,26          ,585454      ,            ,1100                ,1921-10-01,1921-10-31,https://catalog.archives.gov/id/23681730          ,10          ,https://catalog.archives.gov/OpaAPI/media/23681730/content/dc-metro/rg-026/585454/0002/Haida-1921-10/Haida-1921-10.pdf
USCGC Manning  January 1919 - January 1919,            ,26          ,585454      ,NC-31 159-A ,Box 1464            ,1919-01-01,1919-01-31,https://catalog.archives.gov/id/24410216          ,10          ,https://catalog.archives.gov/OpaAPI/media/24410216/content/dc-metro/rg-026/585454/0001-A1/Manning-1919/Manning-1919.pdf
USRCS Commodore Perry         ,            ,26          ,585454      ,            ,Volume 175          ,1902-06-20,1902-10-04,https://catalog.archives.gov/id/7329636           ,16          ,            
USCG Mohawk                   ,            ,26          ,585454      ,NC-31 159-A ,b1603               ,1918-01-01,1918-01-31,https://catalog.archives.gov/id/38548002          ,17          ,            
USRC Rush  May 1889 - May 1889,            ,26          ,585454      ,NC-31 159-A ,Volume 509          ,1889-05-01,1889-05-31,https://catalog.archives.gov/id/24419332          ,20          ,https://catalog.archives.gov/OpaAPI/media/24419332/content/dc-metro/rg-026/585454/0001-A1/Rush-v509-1889-05-thru-1889-05/Rush-v509-1889-05-thru-1889-05.pdf
USRC Rush  February 1893 - March 1893,            ,26          ,585454      ,NC-31 159-A ,Volume 516          ,1893-02-01,1893-03-31,https://catalog.archives.gov/id/24420435          ,22          ,https://catalog.archives.gov/OpaAPI/media/24420435/content/dc-metro/rg-026/585454/0001-A1/Rush-v516-1893-02-thru-1893-03/Rush-v516-1893-02-thru-1893-03.pdf
Atalanta  September 1934      ,            ,26          ,585454      ,            ,327                 ,1934-09-01,1934-09-30,https://catalog.archives.gov/id/23669755          ,23          ,https://catalog.archives.gov/OpaAPI/media/23669755/content/dc-metro/rg-026/585454/0002/Atalanta-1934-09/Atalanta-1934-09.pdf
USCG Mojave                   ,            ,26          ,585454      ,NC-31 159-A ,b1607               ,1921-12-01,1921-12-31,https://catalog.archives.gov/id/38548048          ,25          ,            
USRCS Corwin                  ,            ,26          ,585454      ,            ,volume 208          ,1892-01-01,1892-03-31,https://catalog.archives.gov/id/6919279           ,29          ,            
USRC Rush  May 1888 - June 1888,            ,26          ,585454      ,NC-31 159-A ,Volume 506          ,1888-05-01,1888-06-30,https://catalog.archives.gov/id/24418821          ,30          ,https://catalog.archives.gov/OpaAPI/media/24418821/content/dc-metro/rg-026/585454/0001-A1/Rush-v506-1888-05-thru-1888-06/Rush-v506-1888-05-thru-1888-06.pdf
USRCS Bear                    ,            ,26          ,585454      ,            ,volume 87           ,1903-01-01,1903-01-31,https://catalog.archives.gov/id/6919234           ,31          ,            
USRC Rush  July 1888          ,            ,26          ,585454      ,NC-31 159-A ,Volume 507          ,1888-07-01,1888-07-31,https://catalog.archives.gov/id/24418965          ,31          ,https://catalog.archives.gov/OpaAPI/media/24418965/content/dc-metro/rg-026/585454/0001-A1/Rush-v507-rough-1888-07-thru-1888-07/Rush-v507-rough-1888-07-thru-1888-07.pdf
Haida  February 1930          ,            ,26          ,585454      ,            ,1117                ,1930-02-01,1930-02-28,https://catalog.archives.gov/id/23685929          ,32          ,https://catalog.archives.gov/OpaAPI/media/23685929/content/dc-metro/rg-026/585454/0002/Haida-1930-02/Haida-1930-02.pdf
USRCS Bear                    ,            ,26          ,585454      ,            ,volume 89           ,1903-12-01,1903-12-31,https://catalog.archives.gov/id/6919236           ,33          ,            
USRCS Bear                    ,            ,26          ,585454      ,            ,volume 90           ,1904-01-01,1904-01-31,https://catalog.archives.gov/id/6919237           ,33          ,            
USCGS Bear                    ,            ,26          ,585454      ,            ,volume 109          ,1923-06-01,1923-06-30,https://catalog.archives.gov/id/6919266           ,33          ,            
USRCS Commodore Perry         ,            ,26          ,585454      ,            ,Volume 192          ,1910-07-01,1910-07-29,https://catalog.archives.gov/id/7329653           ,33          ,            
USRCS Bear                    ,            ,26          ,585454      ,            ,volume 86B          ,1902-11-01,1902-12-31,https://catalog.archives.gov/id/6919233           ,34          ,            
Chelan  February 1934         ,            ,26          ,585454      ,            ,539                 ,1934-02-01,1934-02-28,https://catalog.archives.gov/id/23677616          ,34          ,https://catalog.archives.gov/OpaAPI/media/23677616/content/dc-metro/rg-026/585454/0002/Chelan-1934-02/Chelan-1934-02.pdf
Haida  February 1922          ,            ,26          ,585454      ,            ,1100                ,1922-02-01,1922-02-28,https://catalog.archives.gov/id/23681856          ,34          ,https://catalog.archives.gov/OpaAPI/media/23681856/content/dc-metro/rg-026/585454/0002/Haida-1922-02/Haida-1922-02.pdf
Haida  February 1924          ,            ,26          ,585454      ,            ,1105                ,1924-02-01,1924-02-29,https://catalog.archives.gov/id/23682864          ,34          ,https://catalog.archives.gov/OpaAPI/media/23682864/content/dc-metro/rg-026/585454/0002/Haida-1924-02/Haida-1924-02.pdf
Haida  February 1934          ,            ,26          ,585454      ,            ,1126                ,1934-02-01,1934-02-28,https://catalog.archives.gov/id/23687937          ,34          ,https://catalog.archives.gov/OpaAPI/media/23687937/content/dc-metro/rg-026/585454/0002/Haida-1934-02/Haida-1934-02.pdf
Haida  February 1931          ,            ,26          ,585454      ,            ,1119                ,1931-02-01,1931-02-28,https://catalog.archives.gov/id/23686428          ,34          ,https://catalog.archives.gov/OpaAPI/media/23686428/content/dc-metro/rg-026/585454/0002/Haida-1931-02/Haida-1931-02.pdf
USRCS Bear                    ,            ,26          ,585454      ,            ,volume 108A         ,1913-12-01,1913-12-31,https://catalog.archives.gov/id/6919265           ,35          ,            
Chelan  April 1940            ,            ,26          ,585454      ,            ,546                 ,1940-04-01,1940-04-30,https://catalog.archives.gov/id/23681147          ,35          ,https://catalog.archives.gov/OpaAPI/media/23681147/content/dc-metro/rg-026/585454/0002/Chelan-1940-04/Chelan-1940-04.pdf
Chelan  September 1930        ,            ,26          ,585454      ,            ,535                 ,1930-09-01,1930-09-30,https://catalog.archives.gov/id/23675773          ,35          ,https://catalog.archives.gov/OpaAPI/media/23675773/content/dc-metro/rg-026/585454/0002/Chelan-1930-09/Chelan-1930-09.pdf
Haida  April 1924             ,            ,26          ,585454      ,            ,1105                ,1924-04-01,1924-04-30,https://catalog.archives.gov/id/23682940          ,35          ,https://catalog.archives.gov/OpaAPI/media/23682940/content/dc-metro/rg-026/585454/0002/Haida-1924-04/Haida-1924-04.pdf
Haida  February 1926          ,            ,26          ,585454      ,            ,1108                ,1926-02-01,1926-02-28,https://catalog.archives.gov/id/23683825          ,35          ,https://catalog.archives.gov/OpaAPI/media/23683825/content/dc-metro/rg-026/585454/0002/Haida-1926-02/Haida-1926-02.pdf
USCGC Tallapoosa  February 1935,            ,26          ,585454      ,NC-31 159-A ,Box 2352            ,1935-02-01,1935-02-28,https://catalog.archives.gov/id/24380978          ,35          ,https://catalog.archives.gov/OpaAPI/media/24380978/content/dc-metro/rg-026/585454/0001-A1/Tallapoosa-1935-02/Tallapoosa-1935-02.pdf
USCGC Tallapoosa  October 1936,            ,26          ,585454      ,NC-31 159-A ,Box 2366            ,1936-10-01,1936-10-31,https://catalog.archives.gov/id/24381781          ,35          ,https://catalog.archives.gov/OpaAPI/media/24381781/content/dc-metro/rg-026/585454/0001-A1/Tallapoosa-1936-10/Tallapoosa-1936-10.pdf
USRC Rush  September 1889 - October 1889 ,            ,26          ,585454      ,NC-31 159-A ,Volume 507          ,1889-09-01,1889-10-31,https://catalog.archives.gov/id/24418998          ,35          ,https://catalog.archives.gov/OpaAPI/media/24418998/content/dc-metro/rg-026/585454/0001-A1/Rush-v507-rough-1889-09-thru-1889-10/Rush-v507-rough-1889-09-thru-1889-10.pdf
USCG Mojave                   ,            ,26          ,585454      ,NC-31 159-A ,b1628               ,1935-04-01,1935-04-30,https://catalog.archives.gov/id/38548062          ,35          ,            
Chelan  November 1933         ,            ,26          ,585454      ,            ,539                 ,1933-11-01,1933-11-30,https://catalog.archives.gov/id/23677492          ,36          ,https://catalog.archives.gov/OpaAPI/media/23677492/content/dc-metro/rg-026/585454/0002/Chelan-1933-11/Chelan-1933-11.pdf
Chelan  November 1940         ,            ,26          ,585454      ,            ,546                 ,1940-11-01,1940-11-30,https://catalog.archives.gov/id/23681455          ,36          ,https://catalog.archives.gov/OpaAPI/media/23681455/content/dc-metro/rg-026/585454/0002/Chelan-1940-11/Chelan-1940-11.pdf
Chelan  April 1939            ,            ,26          ,585454      ,            ,545                 ,1939-04-01,1939-04-30,https://catalog.archives.gov/id/23680602          ,36          ,https://catalog.archives.gov/OpaAPI/media/23680602/content/dc-metro/rg-026/585454/0002/Chelan-1939-04/Chelan-1939-04.pdf
Haida  December 1921          ,            ,26          ,585454      ,            ,1100                ,1921-12-01,1921-12-31,https://catalog.archives.gov/id/23681780          ,36          ,https://catalog.archives.gov/OpaAPI/media/23681780/content/dc-metro/rg-026/585454/0002/Haida-1921-12/Haida-1921-12.pdf
Chelan  September 1940        ,            ,26          ,585454      ,            ,546                 ,1940-09-01,1940-09-30,https://catalog.archives.gov/id/23681373          ,36          ,https://catalog.archives.gov/OpaAPI/media/23681373/content/dc-metro/rg-026/585454/0002/Chelan-1940-09/Chelan-1940-09.pdf
