Ship Name                     ,Hull No.    ,Record Group,Series NAID ,Record Entry,Container           ,StartDate ,EndDate   ,Nara URL                                          ,#Images     ,Document URL
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1841-07-01,1841-07-31,https://catalog.archives.gov/id/74203942          ,3           ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_07221841-07241841/Uss_Vincennes_07221841-07241841.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-07-01,1840-02-29,https://catalog.archives.gov/id/74203929          ,11          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_07131839-02141840/Uss_Vincennes_07131839-02141840.pdf
USS Porpoise                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1841-05-01,1841-07-31,https://catalog.archives.gov/id/74203567          ,14          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Porpoise_05131841-07221841/Uss_Porpoise_05131841-07221841.pdf
USS Porpoise                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1841-05-01,1841-07-31,https://catalog.archives.gov/id/74203549          ,16          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Porpoise_05111841-07251841/Uss_Porpoise_05111841-07251841.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-12-01,1841-05-31,https://catalog.archives.gov/id/74206789          ,20          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_12261839-05151841/Uss_Vincennes_12261839-05151841.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1841-08-01,1841-10-31,https://catalog.archives.gov/id/74205036          ,22          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_08081841-10261841/Uss_Vincennes_08081841-10261841.pdf
USS Porpoise                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-04-01,1839-06-30,https://catalog.archives.gov/id/74203123          ,26          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Porpoise_04061839-06111839/Uss_Porpoise_04061839-06111839.pdf
USS Porpoise                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1841-08-01,1841-10-31,https://catalog.archives.gov/id/74204279          ,26          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Porpoise_08061841-10191841/Uss_Porpoise_08061841-10191841.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1838-09-30,https://catalog.archives.gov/id/74205574          ,30          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_08141838-09161838/Uss_Vincennes_08141838-09161838.pdf
USS Porpoise                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-08-01,1839-09-30,https://catalog.archives.gov/id/74205401          ,35          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Porpoise_08131839-09061839/Uss_Porpoise_08131839-09061839.pdf
USS Oregon                    ,            ,37          ,2945495     ,I-4 59      ,                    ,1841-10-01,1842-06-30,https://catalog.archives.gov/id/74206612          ,40          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Oregon_10281841-06121842/Uss_Oregon_10281841-06121842.pdf
USS Porpoise                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-02-01,1839-03-31,https://catalog.archives.gov/id/74202648          ,41          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Porpoise_02051839-03311839/Uss_Porpoise_02051839-03311839.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1839-02-28,https://catalog.archives.gov/id/74206093          ,44          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_08191838-02251839/Uss_Vincennes_08191838-02251839.pdf
USS Porpoise                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1840-12-01,1841-03-31,https://catalog.archives.gov/id/74206654          ,50          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Porpoise_12011840-03251841/Uss_Porpoise_12011840-03251841.pdf
USS Sea Gull                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-02-01,1839-03-31,https://catalog.archives.gov/id/74202691          ,51          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Sea_Gull_02191839-03241839/Uss_Sea_Gull_02191839-03241839.pdf
USS Relief                    ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1839-06-30,https://catalog.archives.gov/id/74205678          ,55          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Relief_08181838-06241839/Uss_Relief_08181838-06241839.pdf
USS Porpoise                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1839-02-28,https://catalog.archives.gov/id/74206036          ,55          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Porpoise_08191838-02241839/Uss_Porpoise_08191838-02241839.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,3                   ,1842-04-01,1842-05-31,https://catalog.archives.gov/id/74203283          ,61          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_04171842-05151842/Uss_Vincennes_04171842-05151842.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1839-02-28,https://catalog.archives.gov/id/74205606          ,70          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_08181838-02221839/Uss_Vincennes_08181838-02221839.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,2                   ,1842-04-01,1842-05-31,https://catalog.archives.gov/id/74203346          ,71          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_04171842-05201842/Uss_Vincennes_04171842-05201842.pdf
USS Porpoise                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-06-01,1839-11-30,https://catalog.archives.gov/id/74203676          ,71          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Porpoise_06211839-11231839/Uss_Porpoise_06211839-11231839.pdf
USS Oregon                    ,            ,37          ,2945495     ,I-4 59      ,                    ,1841-08-01,1842-06-30,https://catalog.archives.gov/id/74205957          ,77          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Oregon_08181841-06121842/Uss_Oregon_08181841-06121842.pdf
USS Relief                    ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-12-01,1839-06-30,https://catalog.archives.gov/id/74206706          ,81          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Relief_12191838-06151839/Uss_Relief_12191838-06151839.pdf
USS Relief                    ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-06-01,1840-03-31,https://catalog.archives.gov/id/74203583          ,91          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Relief_06211839-03231840/Uss_Relief_06211839-03231840.pdf
USS Relief                    ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-02-01,1840-03-31,https://catalog.archives.gov/id/74202744          ,95          ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Relief_02241839-03231840/Uss_Relief_02241839-03231840.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1838-12-31,https://catalog.archives.gov/id/74205850          ,105         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_08181838-12151838/Uss_Vincennes_08181838-12151838.pdf
USS Peacock                   ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1839-07-31,https://catalog.archives.gov/id/74205735          ,113         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Peacock_08181838-07041839/Uss_Peacock_08181838-07041839.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1840-04-01,1841-09-30,https://catalog.archives.gov/id/74203419          ,128         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_04281840-09011841/Uss_Vincennes_04281840-09011841.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1841-04-01,1842-05-31,https://catalog.archives.gov/id/74203151          ,130         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_04061841-05011842/Uss_Vincennes_04061841-05011842.pdf
USS Porpoise                  ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1839-06-30,https://catalog.archives.gov/id/74205438          ,134         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Porpoise_08141838-06211839/Uss_Porpoise_08141838-06211839.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1840-10-31,https://catalog.archives.gov/id/74205060          ,155         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_08091838-10221840/Uss_Vincennes_08091838-10221840.pdf
USS Relief                    ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1840-03-31,https://catalog.archives.gov/id/74206139          ,163         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Relief_08191838-03251840/Uss_Relief_08191838-03251840.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-06-01,1842-03-31,https://catalog.archives.gov/id/74203749          ,178         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_06241839-03231842/Uss_Vincennes_06241839-03231842.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1838-08-01,1839-02-28,https://catalog.archives.gov/id/74205217          ,182         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_08101838-02251839/Uss_Vincennes_08101838-02251839.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1840-12-01,1841-08-31,https://catalog.archives.gov/id/74206811          ,235         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_12271840-08061841/Uss_Vincennes_12271840-08061841.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1839-03-01,1840-02-29,https://catalog.archives.gov/id/74202841          ,280         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_03311839-02021840/Uss_Vincennes_03311839-02021840.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1841-10-01,1842-06-30,https://catalog.archives.gov/id/74206304          ,306         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_10191841-06091842/Uss_Vincennes_10191841-06091842.pdf
USS Vincennes                 ,            ,37          ,2945495     ,I-4 59      ,                    ,1840-02-01,1840-12-31,https://catalog.archives.gov/id/74202325          ,321         ,https://catalog.archives.gov/catalogmedia/lz/dc-metro/rg-037/2945495/2017-06/Uss_Vincennes_02031840-12251840/Uss_Vincennes_02031840-12251840.pdf
